group,scdiv_coarse,scdiv_fine,scdiv_leiden,scdiv_singleton,day
embryo_11,1.1445171149763311,1.1189563834847305,1.1815224686869583,2.2949171966077655,E8.5
embryo_12,1.1095200509565775,1.0932046075821436,1.1848917042112743,2.2946161993445595,E8.5
embryo_9,1.1028462479657148,1.0817949417987656,1.1763492667063695,2.2907941113152526,E8.5
embryo_4,1.1009451746767054,1.0717967682582379,1.1811035646795849,2.2899209428783287,E8.5
embryo_8,1.111020476327228,1.0841957854978117,1.1824985474613756,2.289848979380422,E8.5
embryo_10,1.1066870385277876,1.0885241269205346,1.1812635203104074,2.291084338391584,E8.5
embryo_7,1.1151343286156923,1.0825522249491484,1.1808002531870736,2.2929104507867333,E8.5
embryo_1,1.1126204400585766,1.0782855344508553,1.1838904379675645,2.292817077967812,E8.5
embryo_2,1.1098811198252747,1.0758121882056777,1.1785496009243281,2.2903303266278514,E8.5
embryo_5,1.1022657873036583,1.0780273702300485,1.1790243024791098,2.2948636040505916,E8.5
embryo_3,1.1044680994786167,1.0678740023067153,1.1823294468377603,2.2986448346402226,E8.5
embryo_6,1.0841509934429523,1.0580063383156721,1.1785834947801932,2.280058118370959,E8.5
embryo_47,1.3011757061451974,1.3776676300694235,1.3804711559675198,3.510574857051381,E13.25
embryo_45,1.2648773855380357,1.341664169309101,1.3362285146130606,3.699143010617601,E13.0
embryo_46,1.3226724677301906,1.3982995092979063,1.3972706001362865,3.6636313734770245,E13.25
embryo_44,1.3008701356910304,1.3794957955444995,1.3752094092003089,3.8162439812824345,E13.0
embryo_48,1.320691796477675,1.3924086960724988,1.3981545777126194,3.521438670305871,E13.5
embryo_51,1.4441890375365531,1.5123291901750326,1.5243070137492747,4.141035319579442,E13.75
embryo_50,1.334621804274861,1.4111713525547676,1.406825248186126,3.6817271680405135,E13.75
embryo_41,1.2454042816189765,1.3218309745138228,1.3118565374186806,3.3152040167811876,E12.25
embryo_43,1.335423852067987,1.4113408556347904,1.4004391655225308,3.7502632239308324,E12.75
embryo_40,1.258830737343527,1.3350922784468764,1.3265145115827144,3.3609349195935967,E12.0
embryo_42,1.2836146027870619,1.361690513454001,1.3522023569918753,3.4585717674027237,E12.5
embryo_22,1.1253908973275581,1.1413155879741588,1.204092996904188,3.2392587899632472,E9.5
embryo_14,1.1269527848828391,1.1152246635882712,1.205616881152464,3.2440115603013684,E8.75
embryo_18,1.1223636344437413,1.1262634531361728,1.2043349461489943,3.2454163598848393,E9.25
embryo_17,1.1270539764033587,1.12357553660059,1.2042738229735697,3.241829595649965,E9.0
embryo_21,1.1230101447143248,1.131443707939843,1.2033630824758608,3.238221273736177,E9.25
embryo_23,1.1261184841865115,1.140629580837905,1.2045897245623465,3.2445057435413345,E9.5
embryo_19,1.1175079746557628,1.1291832161006556,1.2037889991678676,3.2346529717362436,E9.25
embryo_24,1.1410194017156292,1.1577422998312623,1.2043184481878935,3.245568128344337,E9.5
embryo_16,1.1281555639155985,1.128299255870731,1.2049253311905839,3.255553019436131,E9.0
embryo_15,1.1128457288383016,1.1176995511657768,1.2058609653688472,3.247736082415485,E9.0
embryo_20,1.1234003037382736,1.1335586049190391,1.2025682811151406,3.2377533870101587,E9.25
embryo_13,1.1057288928777496,1.1026879206888298,1.2058383200383036,3.2497212766853885,E8.75
embryo_36,1.1877437796641255,1.2427526359560177,1.2667456779150978,3.2457198877801505,E11.0
embryo_38,1.2055084085853287,1.273142501080283,1.2725846436334947,3.2163364795081564,E11.5
embryo_37,1.20104074680567,1.2659942505862094,1.2786569648555062,3.1230881626942226,E11.25
embryo_39,1.2205248914279334,1.2918952165324629,1.2893847498592554,3.5539946600186996,E11.75
embryo_28,1.1405626128114155,1.1584786211971378,1.2117471799952444,3.151268839620571,E9.75
embryo_27,1.1381577188979055,1.1525074876239196,1.2120463879491097,2.9845034823758665,E9.75
embryo_25,1.1265015785818817,1.140602737098028,1.1937300050108908,3.1334690580479077,E9.75
embryo_26,1.1306765735984081,1.1453527664578729,1.2023490725350978,3.222488556777572,E9.75
embryo_30,1.1378934974501143,1.1605540579117917,1.1997109640573962,3.1696210256522916,E10.0
embryo_32,1.1355016523119734,1.1553119636093816,1.1957479076738398,3.0800467929885813,E10.0
embryo_31,1.1446676834212703,1.1670683113223312,1.2102210408623841,2.9970554981399986,E10.0
embryo_29,1.1328939243940084,1.1526006005979967,1.1927101237875526,3.469088275900738,E9.75
embryo_53,1.409736304490626,1.4773722029253036,1.4727089281280257,3.5450075512622865,E14.0
embryo_55,1.4778674515074686,1.5489925026523554,1.5553646779842643,3.4205343286065317,E14.333
embryo_54,1.4064873488244771,1.487212006469857,1.4755899714619303,3.366059172169405,E14.25
embryo_34,1.1468792647288122,1.1821106806325412,1.2080618230111282,3.129454234604004,E10.5
embryo_33,1.1765950182201503,1.2129873600865837,1.2801416540485469,3.3682847544531938,E10.25
embryo_35,1.1781970423494015,1.2264850516698862,1.2561725443744642,3.3098443550371055,E10.75
embryo_49,1.3066829011863168,1.3828953067187646,1.367713496876244,3.9640911884666097,E13.5
embryo_52,1.327579232322981,1.399563120576742,1.388433695265507,4.030627343049835,E13.75
embryo_58,1.488764823843779,1.5729639879032578,1.5715450022117385,3.9114186055936266,E15.25
embryo_57,1.502916450737134,1.5887212857946136,1.5897414620581354,3.880741861780822,E15.0
embryo_59,1.5398750671733756,1.6324389650701714,1.6322321861550262,3.7236922283107043,E15.5
embryo_60,1.5511173807916387,1.6487838116444016,1.6440474767460609,3.892009745554173,E15.75
embryo_56,1.4966907468528163,1.5785190140766758,1.582750941333844,4.428885821529685,E14.75
embryo_65,1.5452611453213874,1.6791862651071228,1.6402064108641088,4.364565696451142,E17.0
embryo_68,1.5060330871555454,1.6440416755091067,1.5826394881697492,4.335137792227503,E17.75
embryo_66,1.5533110262327563,1.6916717303035484,1.6368365977906583,4.077023663501091,E17.25
embryo_67,1.530874555052141,1.6761328147039873,1.6205900248713099,4.3860339467393485,E17.5
embryo_73,1.5393561212702809,1.6995525971054208,1.5965611620159403,4.423543355583084,P0
embryo_74,1.4815733359258827,1.6227106877420048,1.5363761542134724,5.019675399274233,P0
embryo_61,1.5433607244154595,1.6520109760779897,1.6424475356548593,4.114433861350727,E16.0
embryo_62,1.5581876855879084,1.6693333173973282,1.657694904096584,4.4820994247463375,E16.25
embryo_63,1.5213590034673314,1.6317144371575516,1.614644010424078,4.681604674070255,E16.5
embryo_64,1.523721148330953,1.6569247519069896,1.6188797242758068,4.880213920179272,E16.75
embryo_69,1.5346093933679992,1.699429739867887,1.6228184075595866,4.551514918357479,E18.0
embryo_70,1.5494835377975649,1.7095596870797474,1.6093437119990706,4.75930232684544,E18.25
embryo_71,1.5048539324535788,1.670941032206134,1.5812364692934104,4.89576707420754,E18.5
embryo_72,1.5624873152944225,1.73458599876475,1.633685370342335,5.060619563351694,E18.75
